game_id,season,week,season_type,team,opponent,is_home,n_plays,epa_sum,epa_per_play
2010_02_TB_CAR,2010,2,REG,TB,CAR,0,60,3.5831,0.059718
2010_03_ATL_NO,2010,3,REG,ATL,NO,0,87,10.5913,0.121739
2010_03_ATL_NO,2010,3,REG,NO,ATL,1,56,1.1374,0.020311
2010_03_BUF_NE,2010,3,REG,BUF,NE,0,54,10.015,0.185462
2010_03_BUF_NE,2010,3,REG,NE,BUF,1,67,18.8412,0.281212
2010_03_CIN_CAR,2010,3,REG,CAR,CIN,1,61,-20.1326,-0.330043
2010_03_CIN_CAR,2010,3,REG,CIN,CAR,0,74,-8.7176,-0.117805
2010_03_CLE_BAL,2010,3,REG,BAL,CLE,1,56,15.4659,0.276177
2010_03_CLE_BAL,2010,3,REG,CLE,BAL,0,57,6.1807,0.108434
2010_03_DAL_HOU,2010,3,REG,DAL,HOU,0,59,14.1196,0.239315
2010_03_DAL_HOU,2010,3,REG,HOU,DAL,1,64,0.0928,0.001451
2010_03_DET_MIN,2010,3,REG,DET,MIN,0,66,-11.928,-0.180727
2010_03_DET_MIN,2010,3,REG,MIN,DET,1,68,-6.6622,-0.097974
2010_03_GB_CHI,2010,3,REG,CHI,GB,1,52,0.6769,0.013016
2010_03_GB_CHI,2010,3,REG,GB,CHI,0,65,11.7566,0.180871
